text,category
"urrrrm third re installing, finally scenery hand, black shapes everywhere could even see walls killed internet big game takes half hour install - dont like game, chance refund finally got proper game, pretty smooth graphics, amazing sound track, best scenery ive ever seen tablet next update, want seeing right installment first time, chance refund, free roam! free roam best part old games, would love tablet! thank ?",U
exactly says tin effecient enough check respond emails,U
best whats available ive purchased word emulator apps office suite best its easy edit toolbars would give five word spacing issues ive lost edits occasionally saving dropbox,U
finally office suite works great gone many office suite tried find suite best support common microsoft office suite applications finally suite fills suite 80% font package part suite would given 95% 5 star,U
"pretty good! ive edited many photos using application already something probably address photo always saving youre looking preview beautify tool good example this, may look fine preview, save it, dont exactly get quality sometimes turns little pixalated, overall remarkable app! use conjunction apps",U
"aside occasional glitch, pretty good awesome graphics, nice sound, dont expect ac3 4 scale naval warfare battles id call real time, cross real turn based randomly sailing also quite pointless due able fast travel almost anywhere main missions races fun however much less repetitive battling bugs developer seems squashing quite often",U
great app found canon mx880 printer worth money none free applications worked liking,U
like using application embroidery business enjoy using application business,U
funny funny exciting app new way expressing make fun others photos,U
works needed app allowed print house using wifi app worked perfectly easy setup make sure share printer using home network install drivers printer may issues,U
best! really like features especially stickers ?,U
awesome pdf performance latest update improved pdf viewing performance significant amount waiting content appear swiping pages,U
"love it! really love game, game play amazing mobile based game graphics stunning",U
beautiful keep up far usable app editor makes photos beautiful alive,U
link needed perfect solution android  linux environment works well tasker,U
"excellent developers best file manager android works like charm s4, droid razr note ii",U
"game really fun great way learn facts, geography, capitals, landmarks locations great states united states! nephews strategically placing stacks super learning fun!",U
"youre probably thinking pay get something similar freei thought thing finally ponied (do really spend *that* much moreless cup coffee?) value its added daily basis invaluable time tables pretty accurate, love service advisories constantly change every weekend neighborhoods maps, mention last minute emergencies lines due water main break police incident you better plan trip avoid certain line rather find station yellow tape blocking way, walk half mile catch another line find thing saying sod catching cab saved much time",U
easy find songs purchase itunes,U
"fun never much interest astronomy, app changed everything",U
lots fun use live unpopulated area its neat pick stars what app works well!,U
use app almost every weekend exploring back roads trails motorcycle functionality excellent road well using data review later using google earth ive tried gps tracking apps one go back every time strongly recommend reading users guide watching videos 10 minutes spent learning app really pay much use function get app,U
"cannot believe amazing new changes are mountain bike, hike, camp, travel must need app! tracks altitude, pace, speed, every stat need unit measure far best app have!",U
makes easy keep track mileage,U
"is, hands down, useful app lite version decided worth money upgrade makes much easier guess check calendar love it!!",U
love its multifunctionality able multiple business year prior expenses etc!,U
"ap great, really puts collection fingertips! really like easy manage wine collection, buying, drinking storage notes love it!",U
"app beast! best thing is, doesnt need internet! ipod touch dont internet public recomend app!",U
great little app especially hectic schedules keeps like visual people like me,U
"so havent yet installed latest version though love holiday bonuses (i laughed aloud last night saw flying overhead), agree onoff switch wouldve good, rather implementingremoving all app itself, love it live desert plenty stars visible its nice finally confirm semi-novice identifications meet new stars constellations",U
"live sky work touch also, doesnt find correct location close like droid appbut parsec",U
used app years now keeps getting better tavel lot useful complaint function wanting charge upgrades travel lot its worth it,U
nice app keep tracks flights easy ) time,U
"keep tabs brothers flight info, travels work quite bit im worrier nature, its wonderful able see progress flights ive always able pull easily & theyve always accurate great job!",U
take mountain bike trail continually improving surprising ways keep great work!,U
its pure joy already pic friends call sometimes contacts info fb friends havent taken time acquire fabulous!,U
first didnt challenges literally got board 10min turn challenges like hawk dead animal get point beter modern combat 3!!!!!!,U
great app tracking flights! limousine company & drivers use track clients flights,U
easy use accurate must traveler!,U
finished weekend playing first time used product impressed it! setlist option favorite part played several different times throughout weekend able program songs setlist form made super easy transition songs highly recommend product cant wait use again!,U
"price, its great ive using quicken 5 years now, ive switched app 2 years ago wife use sync option keeping budge easily awesome app- needs desktop version!",U
"app fixture college studies good reader technology turbo charges research puts ahead pack couple instapaper, papers, air printer app two power hands (and pocket)",U
enjoy sending verses friends iphone,U
"love new verse pop every morning great go, youre looking verse pertaining certain category whether encouragement, patience, etc convenient beautiful background pictures",U
dont look missal crowded mass enjoy following along ipod touch thank,U
"love convenience daily readings right fingertips, travel europe semester, dont know could live without it!",U
great daily readings love it,U
excellent app use daily devotional reading mass readings well done!,U
bargain benefits receive daily app!! audio especially good have reading (or listening) daily mass readings great help me also like prayers start end day consider must-have app busy catholics,U
"needed good flash card system mandarin vocabulary, everything could asked for never heard quizlet before, enabling extended keyboard pinyin, simplified chinese keyboard, easily able make custom list words ? (shu?) one side, water instance inputting app super easy! well done totally worth $4 quizlet free, way",U
"pixel pixel, scanner better expensive hp printerscanner part iphone part jotnots software use presentations text page (it doesnt well images though, hence 4 stars) taken whole, its money well spent",U
fantastic app ! makes reading forums much easier find more great!!,U
"think app works better using desktop use forums fast, eat read, searches well wish miniusa bike forums great tacoma world",U
"use forums lot, youll love app!",U
saved much cash =],U
"app great know people complain making account, fits needs need anything computer dropbox works great!",U
sweet app thank you! love it!!,U
awesome!!!,U
need finding rental houses great that!,U
sold bought many things using craigslist,U
"app like website, except pick area instead laid you love app use every day!",U
easy find want narrow search photo gallery feature great first filter looks,U
great,U
"amazing app pics, best editor iphone lots opptions love everything inn it",U
used year never disappointed sound quality excellent iphone,U
"good app gets info want quickly, auto adjusts times time zone (many apps dont)",U
"nice app, easy use, gives right amount relevant info",U
love app nothing better nascar fan!,U
"using product 5 days love it seeking app mainly write school paper, basic spreadsheet, reading pdf articles, one course, cant compare iwork apps definitely beat app terms looks quality (called great marketing) poor student like me, paying student loans, seeking app mainly write papers read docs, recommend one tried powerpoint yet, cant say much it",U
thoroughly enjoying reading older books authors back something think majority todays authors lacking totally loose stories,U
great app aviation enthusiast!!,U
"update 149 rounds recorded iphone 3gs battery 70-80% left rounds still side game tracking notes feature works somewhat that finally fivesomes! sixsomes! best app golf! 17 rounds belt app still happy new in-app stats (v13) blew away! still waiting side games (skins, etc) im confused many golfers leave phone entire round? pull mine im walking ball, usually im 20-30 yards away, get positive satellite lock time im standing ball, read yardage put phone back sleep putting whip out, score entire foursome (takes 15 seconds total) put back sleep consistently 80-85% battery life round complete get side gamesbetting included future update even cheerleader app!  used golfshot last 6 rounds continue use forever! its accurate, easy use, able email scorecard buddies review actual stats perks didnt know wanted, cant live without! ended cheaper buy new iphone 3gs app skycaddie looking at stand alone golf gps units serious trouble",U
"used app 8 months, far, best golf gps money sky caddie before, half good app dont waste money annual dues gps units, buy app everything need iphone 4, uses half battery 4 12 5 12 hour round turn wi-fi using battery life that anyway, must serious golfers",U
provides hours uproarious entertainment!,U
great app keep track hours especially youre salary budgeting,U
trustworthy reliable,U
great tool rapid lab consultation,U
"think fun app play with, playing days, noticed story every time first, go college get career graduateget career random things happen - vacation, raise, etc get married, kids, continue career get new one, go live rest life home overall, enjoyable game, , like many apps, get sock overtime",U
"interesting read i love reading ghost true stories,and people took time share ghost encounters",U
"stories right terrifying experiences myself relate its must buy ipad, iphone, ipod!! joke!",U
"superstitious person love kind ghost story short, long, book app everything short stories long definitely worth $$",U
love app honestly dont care mistakes stories its normal app great! download now! its worth 99 cents,U
im ten stuff scare im 10 years old!!!!,U
recently used several european cities great!,U
"best news, always check drudge first rest story!",U
ap gotten back truck getting lost dirt bike quite times worth every penny!,U
"its getting better better signature capture huge time saver ever wonder put contact info email contacts, copy signature app, separate different fields put iphone contacts great!",U
someecards super funny! theyre great way give someone good laugh sometimes like look theyre fun read,U
"dont need bring big gadgets field works great, saved many times click send email fax",U
"still need check each, think need improve technique cards multiple addresses throw loop easy export excel",U
love app! easy way keep track whats closet mix match pieces even better got iphone could take pictures clothes load directly app perfect fashionista!,U
son loves game gave different prospective addition subtract helped grasp concept loves earning money buying stickers totally improved school,U
great app travelers highly recommend it!,U
fast convenient app search flights,U
"use powerone time, whether simple conversion, working mortgage payments new dream house highly recommended!",U
"well engineered multipurpose calculator extensive template library doesnt need easily create calculators without steep learning curve repeat customer since palm handheld days, definitely consider great value keep good work!",U
find app exactly wanted do- display meaningful data iphone sensors clear intuitive interface its really tool its type need,U
app helped control phones battery usage,U
its easy use keeps battery conditioned sure,U
great app keeps informed whats going,U
cool love many different frequencies listen to,U
app works wonders scans come clear easy send items one used apps!,U
"use app completing required expense report stores pics return them, pics super clear id wish two per page option scans come back full page overall, $2 hell app",U
best replacement app laptop broken!!,U
"great educational app students, especially movies! provides great visual abstract content",U
commercial pilot use app time much better weather channels app best weather app ive found thanks great product,U
since signing ive lost 10 lbs 2 weeks its great,U
really like app soo helpful tracking everything instantly accessible really amazing previously worked weight loss industry many years know key planning losing weight well both,U
simple use works flawlessly loads books choose from im fan,U
"nice presentation course, books come librivox quality varies according talents volunteers found read well",U
interface works great mapping nice ) bug ive seen facebook integration times,U
"ive bee using everytrailcom years - loving ease look uploading rides embedding maps blog used free app long time, recently trip needed find trail download use offline enter everytrail pro app practically replaced gps unit adjust gps settings extend battery life go epic rides still power text buddies photos trail highly recommend fly trail mapping needs worth every penny",U
helps much meal planning grocery shopping cuts time activities,U
must like cook think great! tried baked chicken wing recipe almost like deep fried im buffalo ny know like able save recipes recipe box app get app,U
helpful app! people abilities love help improve learn!!!,U
"top annoyances listed below, support dropbox? app looks pretty, lacks lot organizational support use daily either icloud needs folder support, pagesnumberskeynote need dropbox support!",U
useful difficult sometimes trying type essay without landscape mode ridiculous word processing app doesnt let u type landscape,U
well worth it great tool review spur moment reference,U
"actually believe app totally awesome helping prepare boards however, muscle name given audio wish option hearing muscles info audio me, retaining info comes better audio, activities, constant quizzing",U
pleased app graphics excellent interface easy use navigate through quiz options video great bonus feature really satisfied (especially price) look forward trying systems software nice work!,U
best app finding quality apps,U
"excellent app, integrates well google reader must-have app idevices",U
excellent moon hunting season,U
love app easy use,U
great help trip!!! helped us maximize time parks!!! must,U
helpful planning trip,U
love app gives lots great ideas home,U
real lifesaver eye opener ipad newbie learned much app information well written easy understand wish brain could retain instant recall!,U
"give 5 stars found campgrounds listed sure helpful though 995% time used gas, reservations camps, restaurant locations, low clearances awesome!",U
shocked find app includes overhead clearances one filter worried about looks thorough yet tried road amazed find sitting house little concerned much functionality find remote locations cell service time tell may update rating situation arises 4 weeks happy camping everyone!,U
application lifesaver! actually remotely sinks iphone ipad  love it!,U
great idea works great too!,U
"probably app thankful iphone -- perhaps second omnifocus thanks app care given development team, wife finally budget -- account account balance servant budget planned spend income moving something like quicken, bit learning curve ynab website excellent video tutorials help work questions situations awesome resource looking forward icloud sync possibilities presents again, great app",U
love make people look fat easy,U
definitely becoming one favorites videos updated daily new episodes stuff others updated usually weekly weekly shows happy picked up,U
best app ever make hilarious videos fist one made posted facebook everybody loved it its super easy easy use funniest thing ever!!!!!!!!! get now!!,U
"intuitive, limitless possibilities brings artistic side out",U
love checking see weather forecasts! its beautiful perspective planet!!! takes outside usual local mentality,U
really fun age play enjoy it! get busy long time!,U
added 150 movies app quickly! every movie database,U
great app! amazing features! perfect movie collectors love it!,U
fact people freaking real give 5 bases replies human replies realistic varies much,U
im impressed app! tell everyone benefit & teaches everyday,U
great app around need carry dictionary thesaurus,U
reader works great though editing books enough distracting like user interface quick loading still struggling figure download (or find) books selection rather limited,U
love app helps keep finances order easy use!,U
exactly looking iphone bankingchecking app,U
"already submitted review first downloaded stating app best well, yesterday proved itself health condition yesterday go hospital emailed list, printed able give doctor even nurses doctors impressed one thing, however, think would make app even better add comment area write comments regarding medications whatever",U
easy use helps keep meds allergies everyone household love med check feature helps little knowledgable things discuss doctor great app!,U
